Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
"Продавец ( Энергетиков, 4А)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/117414427,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Слесарь-ремонтник,"Владзернопродукт, ПОВО",до 60000 руб.,https://hh.ru/vacancy/93783048,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
"Продавец-консультант в Ювелирный салон ""Алмаз-Холдинг""",Алмаз-Холдинг,от 40000 руб.,https://hh.ru/vacancy/107038854,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Повар/старший повар,Парк-отель «Жемчужина Золотого кольца»,60000-75000 руб.,https://hh.ru/vacancy/117835018,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
"Продавец (Ленина, 47А)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/117876623,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Пеший курьер,СТАФФ МЕНЕДЖМЕНТ ГРУПП,130500-173900 руб.,https://hh.ru/vacancy/101758154,Владимир,10.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Специалист по монтажу АПС, СОУЭ, видеонаблюдения",Альянс СБ,от 60000 руб.,https://hh.ru/vacancy/117339144,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,Безопасность
Начальник производства,Бриз-кама,до 80000 руб.,https://hh.ru/vacancy/117674004,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер,Российские железные дороги,от 38000 руб.,https://hh.ru/vacancy/114587360,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Курьер/курьер на велосипеде,СТАФФ МЕНЕДЖМЕНТ ГРУПП,до 165200 руб.,https://hh.ru/vacancy/116426783,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Сотрудник ресторана KFC / КФС (Авеню),ЭЙ КЕЙ РЕСТОРАНТС РАША,39000-56000 руб.,https://hh.ru/vacancy/117290822,Владимир,15.02.2025,Данные отсутствуют,Город Владимир,Другое
Водитель автопогрузчика,Лукашов Д.В.,от 50000 руб.,https://hh.ru/vacancy/117565428,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Сборщик заказов (Владимир, Юрьевец, Славная, 12)",Пятёрочка,45000-70000 руб.,https://hh.ru/vacancy/117587755,Владимир,22.02.2025,Данные отсутствуют,Город Владимир,Другое
Медицинская сестра/медицинский брат-анестезист,КИД Медика,от 70000 руб.,https://hh.ru/vacancy/117572596,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Бармен-официант/старший бармен,Парк-отель «Жемчужина Золотого кольца»,45000-60000 руб.,https://hh.ru/vacancy/117801255,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
